name,address,city,state,birth_date,gender,GPA
Gregory Cox,"42149 James Walks
West John, IL 62345",Baileyhaven,Wisconsin,2009-06-24,Female,2.05
Todd Green,"0250 Christopher Ville Suite 819
West Theresaberg, AZ 45718",Jonesside,Nevada,2009-12-10,Female,4.0
Ricky Long,"718 Oneill Run
South Ryan, FL 36972",Danieltown,Louisiana,2012-07-12,Male,3.63
Scott Lee,"01761 Oneal Garden Apt. 731
West James, AR 26231",Samanthaside,South Dakota,2008-09-17,Unknown,3.69
Mark Soto,"44030 Susan Loop
North George, WI 71072",Brookeberg,California,2009-01-06,Male,3.85
Brandon Henderson,"PSC 1155, Box 5523
APO AE 59310",Ortegaborough,North Carolina,2007-11-04,Male,1.2
David Walker,"PSC 6027, Box 4881
APO AP 22752",Harrischester,Utah,2008-12-16,Female,1.43
Erica Bailey,"3265 Brenda Meadow Apt. 911
Nathanport, CO 98699",West Alexandermouth,Mississippi,2007-11-01,Male,0.58
Alexander Diaz,"953 Kaitlyn Estate Suite 616
New Jessicaborough, IN 33455",New Joel,Indiana,2011-05-13,Unknown,2.68
Todd Flores,"23424 Foster Harbors Suite 061
New Markhaven, NJ 08025",Moorefort,Oklahoma,2012-05-08,Female,2.4
Michael Wilson,"5146 Mason Harbor Suite 843
Leefurt, NV 68302",South Susan,Alaska,2008-03-08,Female,3.62
Daniel Robinson,"8211 Cuevas Well Suite 854
Carolton, WA 04484",Kevinton,Wyoming,2009-06-08,Female,1.39
Samuel Moore,"97232 Lewis Overpass
New Melaniechester, GA 75264",Chloeside,Indiana,2011-08-17,Female,3.11
Kevin Marshall,"95602 Miller Union
New Jameston, SC 99930",Brendaton,Hawaii,2011-01-25,Female,4.0
Rachael Cox,"PSC 0132, Box 2787
APO AP 31079",Nicolemouth,Maryland,2012-05-27,Male,4.0
John Lopez,"623 Rice Road
Kristinaborough, NY 42451",Lake Meganbury,North Carolina,2011-10-31,Female,2.6
Thomas Howard,"13795 Montgomery Underpass Apt. 675
East Nathaniel, ME 51041",Port Ryantown,Alabama,2008-03-10,Male,2.02
Amy Lambert,"28024 Courtney Lakes Apt. 168
Jamiestad, WA 06399",Port Anthonyside,Washington,2011-02-23,Unknown,3.04
Scott Ryan,"5016 John Villages
South Laurashire, ND 48913",Georgeport,Montana,2012-07-15,Male,3.53
Joel King,"Unit 4025 Box 9860
DPO AP 76074",Ferrellview,North Dakota,2009-03-29,Female,4.0
Rachel Richardson,"989 Tracy Locks
Smithburgh, AR 03216",Robertberg,Arkansas,2011-04-28,Female,0.98
Lindsey Gomez,"Unit 0858 Box 3211
DPO AA 84048",New Thomas,Nevada,2012-01-01,Unknown,1.11
Mark Alexander,"51899 Mitchell Circles Apt. 081
Ryanbury, AR 98142",Smithstad,Tennessee,2010-11-30,Unknown,4.0
Peter Schultz,"793 Lyons Land
Josephmouth, DE 46491",Russellshire,Alabama,2009-12-15,Female,4.0
Tiffany Campbell,"0221 Smith Trafficway Suite 301
Lake Kimberly, VT 68257",Mejiafort,Michigan,2012-05-14,Male,1.83
William Peterson,"PSC 2877, Box 3891
APO AE 71643",West Bradley,Georgia,2009-06-03,Female,4.0
Cody Luna,"PSC 1571, Box 7223
APO AP 58692",North Sandrahaven,Ohio,2010-08-11,Unknown,1.8
Ethan Ritter,"15538 Joshua Ferry Suite 094
East Johnside, RI 34789",West Cynthia,Vermont,2012-08-29,Unknown,0.0
Patrick Baker,"7178 Randall Club
Port Lauren, CT 08422",Christiantown,South Carolina,2007-12-14,Unknown,4.0
Rebecca Harris,"478 Darlene Forks Apt. 069
Longstad, MS 53517",Clineville,South Dakota,2010-10-23,Unknown,0.83
Thomas Smith,"PSC 4220, Box 6896
APO AA 54381",West Kaitlin,Georgia,2008-12-25,Male,3.04
Sandra Armstrong,"57820 Brittany Dale Apt. 176
Tiffanyport, WY 24752",West Andreaberg,Tennessee,2010-07-25,Female,1.86
Andrea Jones,"152 Brittany Summit Apt. 626
Johnsonland, SD 06717",North Jose,Colorado,2011-06-17,Female,0.0
Thomas Wells,"5117 Patricia Walk
North Timothymouth, CA 24097",Juliabury,Massachusetts,2011-10-04,Female,2.7
Matthew Daniels,"15026 Stephen Lodge
Valerieberg, IL 58560",Zimmermanland,Nevada,2010-03-29,Female,0.0
Ashley Bowen,"Unit 1842 Box 8831
DPO AA 04825",North Alexandra,New York,2010-03-11,Unknown,0.0
Gary Martin,"PSC 0078, Box 8586
APO AE 89991",East Shellyside,Wisconsin,2011-09-24,Male,3.5
Joy Flowers,"444 Adams Islands Suite 876
Jasontown, WA 02433",West Johnton,Georgia,2008-04-03,Male,0.71
Michael Smith,"3458 Shelby Fort Suite 354
South Michaelbury, UT 90410",West Katherine,Nevada,2011-09-02,Male,0.62
Kelly Jacobson,"69961 Cobb Vista Suite 891
Wisehaven, ND 65304",West Dustin,Kentucky,2009-12-05,Female,3.92
Laura Carson,"76587 Diaz Gardens Suite 855
Smithberg, PA 48762",Hillshire,Oklahoma,2008-10-05,Male,3.89
Mr. George Mccarty DVM,"351 Bautista Stream
Maryport, ID 10758",South Kelsey,California,2012-10-13,Male,3.31
Roberto Brown,"3880 Williams Pass Apt. 049
Kariville, MA 47534",Younghaven,Tennessee,2012-07-29,Unknown,0.78
Pamela Cannon,"28046 Jerry Wall
North Michellestad, MS 50447",Port Todd,Maryland,2009-05-08,Female,1.27
Kenneth Mcconnell,"Unit 1890 Box 4690
DPO AA 24837",Katherinechester,Maine,2009-02-24,Unknown,4.0
Bradley Moody,"8665 Garcia Flats Apt. 459
Markbury, MN 83239",North Heidiland,Ohio,2009-04-09,Female,1.29
Richard Francis,"69028 Shelly Valley Suite 463
Batesborough, KY 36354",Markburgh,Connecticut,2009-05-07,Male,0.0
Caitlin Ortiz,"892 Wendy Lake Suite 359
East Anthonymouth, RI 34826",North Jennifer,Washington,2009-09-19,Female,0.0
Robert Morris,"Unit 3712 Box 4633
DPO AA 29255",Jonathanfort,Nebraska,2011-11-08,Unknown,0.06
Tara Clark,"3397 Wilson Islands Apt. 551
Vangburgh, PA 92954",Port Andrewmouth,Maryland,2011-02-04,Unknown,4.0
Eric Moran,"24832 Diaz Mall
North Summerport, NJ 43159",Lewisfurt,New York,2008-02-22,Female,0.26
Jonathan Bauer,"928 Mullins Manor
Thompsonborough, NV 54180",East Audrey,Arkansas,2009-01-18,Female,0.38
Patricia Weaver,"Unit 6697 Box 9536
DPO AE 54060",Kaylachester,Pennsylvania,2010-02-22,Unknown,2.93
Jared Sellers,"0903 Hess Rest Apt. 298
Lake Kimberlyberg, HI 41821",Nortonmouth,Montana,2007-09-15,Male,1.38
Patricia Reed,"PSC 9414, Box 9520
APO AP 65474",New Christopherhaven,Alabama,2008-05-03,Female,1.47
Katherine Foster,"4107 Reynolds Landing
West Ryan, KS 30950",Anthonyton,Michigan,2008-11-25,Unknown,2.56
Ivan Kennedy,"4051 Mary Green Apt. 157
New Kristenfort, OR 31627",Phelpsview,North Dakota,2009-11-02,Male,3.29
Donna Fuller,"2444 Christopher Throughway Apt. 993
North Annettefort, KS 04053",West Andrew,Oklahoma,2008-12-08,Unknown,0.0
Elizabeth Garcia,"811 Bush Way
Roberttown, DE 20500",Jonesfort,Massachusetts,2008-05-11,Unknown,3.8
Garrett Jimenez,"Unit 2722 Box 6155
DPO AP 03515",West Carolynside,Minnesota,2011-01-14,Female,4.0
Leonard Johnson,"PSC 6535, Box 2494
APO AE 30053",West Joseph,Minnesota,2009-06-04,Female,4.0
Belinda Hayden,"2197 Patricia Rest Suite 955
West Mary, KY 81753",Port Taylorshire,Michigan,2009-01-30,Male,4.0
Jacob Rivera,"968 Mark Knolls
East Kevinstad, AK 64853",Wernershire,Minnesota,2012-03-21,Female,4.0
Adrian Gonzalez,"Unit 8995 Box 5432
DPO AE 26356",Williamport,Arkansas,2009-11-30,Male,0.84
Emily Bush,"443 Kaitlin Fork
Port Bailey, SC 38725",South Tonyafort,New Hampshire,2009-01-31,Female,4.0
Janice Moore,"7786 Gibbs Ramp Apt. 087
Davidshire, AR 77894",Port Christinemouth,Minnesota,2010-09-21,Male,1.4
Rachel Mitchell,"8474 Zachary Shores Apt. 826
Collierberg, VT 87663",Lanebury,Minnesota,2008-05-27,Male,2.31
Spencer Barnes,"3615 Robert Mills Suite 532
Millsport, AZ 54808",Joshuastad,Mississippi,2008-03-04,Male,4.0
Darren Johnson,"92323 Moore Drive
Walshton, IN 30037",Masonberg,Kansas,2008-11-17,Male,0.48
Nicholas Kramer,"023 Deleon Branch Suite 986
East Yvonneshire, MS 21671",Lake Bryanstad,Alaska,2011-04-11,Male,3.53
Megan Jacobs,"084 Jeffrey Terrace
Duffyside, SC 19039",Lake Rachelmouth,Arkansas,2011-07-01,Male,1.18
Christy Rodriguez,"103 Velazquez Passage Apt. 961
West Stanleymouth, VT 37516",Lake Crystalton,Indiana,2010-07-26,Male,4.0
Sandra Burns MD,"362 Phillips Squares Apt. 614
Sloanmouth, SC 33832",Stephaniechester,Delaware,2008-06-04,Female,3.21
Melissa Carey,"2274 Robinson Common Apt. 941
North Cherylbury, UT 67203",Collinsbury,Michigan,2008-11-17,Female,3.71
Curtis Hicks,"072 Meza Islands Suite 234
Owenfort, VT 12405",East Tiffany,Indiana,2008-03-06,Female,3.84
Scott Rogers,"8520 Armstrong Road Apt. 634
Taraland, PA 79573",Pittsmouth,South Dakota,2008-07-27,Female,3.09
Kelly Leonard,"832 Stevens Key Suite 432
Flynnfort, WV 29757",New Johnton,Virginia,2010-07-17,Female,4.0
Erik Clark,"83638 Kimberly Junctions Suite 019
New Christopher, KS 01935",New Patrick,Delaware,2012-08-13,Male,0.17
Sara Burke,"586 Tammy Turnpike
Loganton, MN 73774",Reynoldsbury,Wyoming,2010-05-19,Female,2.97
James Banks,"Unit 4004 Box 6591
DPO AA 45099",Leslieburgh,Delaware,2011-09-20,Male,4.0
Kimberly Phillips,"242 Leslie Islands
Lake Melaniefort, NV 02552",Ryanfort,Texas,2009-10-08,Female,4.0
Andre Shelton,"923 Mary Prairie
Smithchester, VT 73602",Lake Amber,Alabama,2007-10-01,Unknown,2.8
